epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,1959.89,1.51148,2.02517,1.11976,1.04158,0,0.72135,0.60526,0.70682,0.35455,0.72135,0.60526,0.70985,0.37154,1.67495,2.01733,1.59979,1.21605,0,0.00039275,0.00039275,0.00039275
67,1986.33,1.58444,1.94175,1.22112,1.05563,0,0.65319,0.59495,0.64723,0.32317,0.67887,0.61209,0.70348,0.35723,1.68639,2.03449,1.58958,1.21529,0,0.0003911,0.0003911,0.0003911
68,2012.25,1.51293,1.79396,1.21559,1.09061,0,0.5989,0.63158,0.62141,0.30689,0.62999,0.65789,0.67547,0.34596,1.70257,2.07573,1.50818,1.22323,0,0.00038945,0.00038945,0.00038945
69,2037.3,1.46033,1.81698,1.16639,1.03084,0,0.63744,0.55263,0.58987,0.27575,0.66861,0.57895,0.63916,0.29854,1.76786,2.1204,1.62981,1.26276,0,0.0003878,0.0003878,0.0003878
70,2061.65,1.48755,2.04499,1.30755,1.09189,0,0.51407,0.5,0.53963,0.26357,0.62194,0.55263,0.60616,0.303,1.80346,2.13975,1.78527,1.29549,0,0.00038615,0.00038615,0.00038615
71,2086.93,1.46779,2.09994,1.18326,1.04812,0,0.51407,0.5,0.53963,0.26357,0.62194,0.55263,0.60616,0.303,1.80346,2.13975,1.78527,1.29549,0,0.0003845,0.0003845,0.0003845
72,2111.03,1.50255,1.99543,1.16625,1.05434,0,0.49338,0.51273,0.51674,0.26269,0.59182,0.55263,0.61054,0.2912,1.81008,2.07689,1.80797,1.28592,0,0.00038285,0.00038285,0.00038285
73,2136.01,1.47089,1.80856,1.14839,1.04159,0,0.49915,0.57895,0.52192,0.28751,0.58335,0.63158,0.63317,0.30727,1.75561,1.96852,1.63623,1.24581,0,0.0003812,0.0003812,0.0003812
74,2160.81,1.37944,1.97346,1.08226,1.05383,0,0.60048,0.55263,0.59834,0.32477,0.66594,0.63158,0.68266,0.35835,1.67254,1.90911,1.52875,1.20444,0,0.00037955,0.00037955,0.00037955
75,2185.27,1.4818,1.89569,1.08733,1.01183,0,0.63434,0.60526,0.63094,0.31834,0.70109,0.61742,0.68439,0.34975,1.65718,1.91724,1.50361,1.18754,0,0.0003779,0.0003779,0.0003779
76,2212.02,1.48532,1.88637,1.15657,1.04408,0,0.65708,0.60526,0.63797,0.31528,0.7182,0.65789,0.70447,0.35642,1.64308,1.93003,1.5462,1.16905,0,0.00037625,0.00037625,0.00037625
77,2236.52,1.38618,1.75589,1.19883,0.94592,0,0.58893,0.63158,0.59942,0.28819,0.64613,0.68421,0.65356,0.32135,1.68473,1.9744,1.77642,1.18373,0,0.0003746,0.0003746,0.0003746
78,2260.58,1.49886,1.73579,1.24515,1.02383,0,0.54537,0.53683,0.59441,0.27672,0.61075,0.57809,0.63954,0.29491,1.72196,2.03661,1.88413,1.20177,0,0.00037295,0.00037295,0.00037295
79,2284.92,1.41578,1.95743,1.33291,1.03745,0,0.54537,0.53683,0.59441,0.27672,0.61075,0.57809,0.63954,0.29491,1.72196,2.03661,1.88413,1.20177,0,0.0003713,0.0003713,0.0003713
80,2308.86,1.26889,1.56971,1.14145,0.93507,0,0.5743,0.60357,0.57081,0.26971,0.60673,0.63158,0.61156,0.28321,1.76286,2.08356,1.80265,1.2192,0,0.00036965,0.00036965,0.00036965
81,2334.94,1.46452,1.95625,1.22692,1.05701,0,0.52774,0.58828,0.55875,0.27524,0.55028,0.60526,0.59793,0.28683,1.75561,2.0801,1.76566,1.21351,0,0.000368,0.000368,0.000368
82,2359.39,1.32113,1.57787,1.12802,0.94742,0,0.48872,0.63158,0.55154,0.28927,0.54392,0.60526,0.59515,0.30147,1.73314,2.07021,1.64518,1.20783,0,0.00036635,0.00036635,0.00036635
83,2383.64,1.35604,1.71695,1.09628,1.01673,0,0.47542,0.63158,0.55313,0.29461,0.52969,0.63158,0.60256,0.31402,1.72088,2.07958,1.6866,1.20977,0,0.0003647,0.0003647,0.0003647
