epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,710.055,2.00378,2.15074,1.5563,0.98802,0,0.51226,0.60526,0.63431,0.28398,0.51928,0.60526,0.60574,0.22339,1.8334,2.20053,1.88578,1.04532,0,0.0008383,0.0008383,0.0008383
51,723.74,1.84733,2.23671,1.3357,1.02091,0,0.51092,0.63158,0.62831,0.27061,0.54328,0.62615,0.63605,0.21958,1.81825,2.24287,1.84405,1.03872,0,0.000835,0.000835,0.000835
52,739.322,1.87044,1.89682,1.46198,1.00892,0,0.65608,0.5,0.63196,0.28573,0.65608,0.5,0.63829,0.25232,1.80768,2.13195,1.7158,1.03298,0,0.0008317,0.0008317,0.0008317
53,751.854,1.7902,2.40731,1.60092,1.03137,0,0.6197,0.60526,0.63553,0.30176,0.6197,0.60526,0.65766,0.26548,1.83678,2.03364,1.6657,1.03264,0,0.0008284,0.0008284,0.0008284
54,760.248,1.91191,2.15917,1.53587,0.99312,0,0.6197,0.60526,0.63553,0.30176,0.6197,0.60526,0.65766,0.26548,1.83678,2.03364,1.6657,1.03264,0,0.0008251,0.0008251,0.0008251
55,773.508,1.88989,2.32182,1.57485,1.035,0,0.55023,0.63158,0.63063,0.28083,0.52452,0.60526,0.59056,0.2509,1.87796,2.00294,1.63083,1.03869,0,0.0008218,0.0008218,0.0008218
56,790.137,1.87,2.13062,1.42661,0.98074,0,0.56119,0.65789,0.61799,0.2643,0.53737,0.63158,0.58749,0.24286,1.88872,2.01333,1.62907,1.04788,0,0.0008185,0.0008185,0.0008185
57,803.245,1.88781,2.11241,1.55117,1.01611,0,0.54489,0.68421,0.61386,0.25599,0.50705,0.63158,0.57305,0.23931,1.91996,2.03789,1.59169,1.05511,0,0.0008152,0.0008152,0.0008152
58,815.327,1.8472,2.21743,1.39872,0.98393,0,0.57849,0.65789,0.63062,0.27052,0.57849,0.65789,0.64615,0.26653,1.88727,2.01195,1.54784,1.04852,0,0.0008119,0.0008119,0.0008119
59,827.9,1.94905,2.47894,1.50713,1.01782,0,0.52396,0.5793,0.6091,0.28121,0.55975,0.63158,0.66063,0.2865,1.88075,1.92695,1.52802,1.05264,0,0.0008086,0.0008086,0.0008086
60,840.86,1.85287,1.94381,1.33043,0.98393,0,0.64417,0.52411,0.63547,0.30247,0.60252,0.63158,0.64284,0.31164,1.88818,1.8151,1.54843,1.04812,0,0.0008053,0.0008053,0.0008053
61,852.578,1.68592,2.00972,1.37801,0.97628,0,0.68187,0.5,0.62266,0.30673,0.53943,0.60526,0.63705,0.30801,1.84552,1.71814,1.53966,1.03568,0,0.000802,0.000802,0.000802
62,863.734,1.83751,2.01591,1.35762,1.01062,0,0.68187,0.5,0.62266,0.30673,0.53943,0.60526,0.63705,0.30801,1.84552,1.71814,1.53966,1.03568,0,0.0007987,0.0007987,0.0007987
63,874.818,1.90359,2.12656,1.47687,0.97214,0,0.67298,0.54176,0.64129,0.30817,0.58116,0.63158,0.65954,0.29864,1.81269,1.66495,1.5148,1.02539,0,0.0007954,0.0007954,0.0007954
64,887.716,1.95199,2.08886,1.50967,0.99639,0,0.52996,0.71053,0.63864,0.29483,0.58404,0.68421,0.66203,0.28062,1.80902,1.65518,1.47628,1.02211,0,0.0007921,0.0007921,0.0007921
65,899.793,1.90255,2.00383,1.52804,1.0134,0,0.56793,0.62278,0.65241,0.30512,0.61366,0.66896,0.6995,0.29501,1.79864,1.5996,1.46751,1.02465,0,0.0007888,0.0007888,0.0007888
66,910.501,1.77064,1.9572,1.32335,1.00034,0,0.68246,0.52632,0.63756,0.32034,0.73389,0.57895,0.69701,0.31897,1.79181,1.55437,1.46144,1.03629,0,0.0007855,0.0007855,0.0007855
67,922.853,1.74644,1.9104,1.43513,0.99157,0,0.53825,0.60526,0.62587,0.30411,0.56165,0.63158,0.65695,0.29686,1.82493,1.54289,1.45268,1.05257,0,0.0007822,0.0007822,0.0007822
68,934.676,1.79528,2.11095,1.46245,1.00544,0,0.54006,0.65789,0.6513,0.31747,0.55711,0.66212,0.66116,0.29678,1.82193,1.56857,1.44658,1.04973,0,0.0007789,0.0007789,0.0007789
69,946.165,1.69384,1.92072,1.29026,1.02018,0,0.55634,0.76316,0.64909,0.32143,0.6046,0.63158,0.64845,0.31003,1.77928,1.60363,1.39649,1.03685,0,0.0007756,0.0007756,0.0007756
70,955.635,1.80885,2.15448,1.43822,1.08007,0,0.55634,0.76316,0.64909,0.32143,0.6046,0.63158,0.64845,0.31003,1.77928,1.60363,1.39649,1.03685,0,0.0007723,0.0007723,0.0007723
71,966.218,1.61029,1.99437,1.33618,0.99871,0,0.55059,0.76316,0.66282,0.30962,0.55443,0.71053,0.64815,0.27977,1.74904,1.651,1.37746,1.0351,0,0.000769,0.000769,0.000769
72,977.675,1.69829,1.86384,1.4037,1.00192,0,0.56932,0.71053,0.67163,0.2937,0.52784,0.70614,0.65125,0.27723,1.73108,1.69092,1.3889,1.04102,0,0.0007657,0.0007657,0.0007657
73,989.911,1.85513,2.28924,1.45093,1.06327,0,0.856,0.42105,0.63737,0.30411,0.856,0.42105,0.60591,0.28894,1.70657,1.68467,1.43623,1.03275,0,0.0007624,0.0007624,0.0007624
74,1000.3,1.78511,2.18418,1.38621,1.01396,0,0.80387,0.43175,0.61286,0.29295,0.75531,0.40647,0.55407,0.28147,1.70306,1.67939,1.42103,1.03585,0,0.0007591,0.0007591,0.0007591
75,1011.41,1.73975,2.16796,1.38015,0.9916,0,0.54097,0.57895,0.60567,0.29081,0.74224,0.42105,0.57405,0.28271,1.74921,1.72097,1.34104,1.0589,0,0.0007558,0.0007558,0.0007558
76,1023.87,1.77314,1.99604,1.27664,0.95585,0,0.55039,0.60526,0.61707,0.28696,0.71364,0.42105,0.58351,0.30669,1.79365,1.75377,1.34778,1.06963,0,0.0007525,0.0007525,0.0007525
77,1036.43,1.83666,2.36131,1.56553,1.0479,0,0.66188,0.5,0.62947,0.28679,0.64932,0.5,0.59333,0.29245,1.81541,1.76215,1.36246,1.07415,0,0.0007492,0.0007492,0.0007492
78,1046.81,1.84674,2.07566,1.3216,0.9821,0,0.66188,0.5,0.62947,0.28679,0.64932,0.5,0.59333,0.29245,1.81541,1.76215,1.36246,1.07415,0,0.0007459,0.0007459,0.0007459
79,1058.46,1.77321,2.04761,1.35895,0.97452,0,0.82513,0.47368,0.64627,0.28727,0.74563,0.44737,0.59413,0.28279,1.85318,1.81741,1.39593,1.08587,0,0.0007426,0.0007426,0.0007426
80,1071.9,1.73783,2.04834,1.41557,0.97906,0,0.89926,0.47001,0.6495,0.28637,0.74906,0.47141,0.58437,0.26225,1.86641,1.84256,1.4325,1.08304,0,0.0007393,0.0007393,0.0007393
81,1083.46,1.74109,1.99637,1.2995,0.98487,0,0.69468,0.5,0.6489,0.28451,0.69468,0.5,0.59235,0.2824,1.87218,1.82153,1.45095,1.07814,0,0.000736,0.000736,0.000736
82,1095.68,1.75631,2.16531,1.36274,0.98608,0,0.71136,0.51904,0.62681,0.289,0.78619,0.5,0.60924,0.31619,1.85643,1.76896,1.44809,1.06609,0,0.0007327,0.0007327,0.0007327
83,1107.65,1.74141,2.09397,1.43954,1.02094,0,0.78791,0.5,0.639,0.3043,0.8014,0.5,0.62927,0.32892,1.80104,1.66997,1.42031,1.05433,0,0.0007294,0.0007294,0.0007294
84,1121.05,1.85898,2.11937,1.37036,0.96157,0,0.68009,0.63158,0.63757,0.30586,0.64737,0.60526,0.62274,0.34414,1.78239,1.60012,1.38182,1.05757,0,0.0007261,0.0007261,0.0007261
85,1132.54,1.71086,2.08093,1.34915,0.95964,0,0.72417,0.60526,0.64202,0.31484,0.69385,0.57895,0.63897,0.35826,1.76192,1.55868,1.38892,1.06345,0,0.0007228,0.0007228,0.0007228
86,1142.72,1.93067,2.16033,1.48442,1.01366,0,0.72417,0.60526,0.64202,0.31484,0.69385,0.57895,0.63897,0.35826,1.76192,1.55868,1.38892,1.06345,0,0.0007195,0.0007195,0.0007195
87,1156.44,1.608,1.77139,1.30112,0.96491,0,0.62295,0.60876,0.63282,0.31347,0.59601,0.58245,0.63678,0.34765,1.7367,1.55604,1.38425,1.07576,0,0.0007162,0.0007162,0.0007162
88,1168.18,1.71434,1.79427,1.26088,0.95723,0,0.63191,0.65789,0.63904,0.31455,0.68285,0.52632,0.62953,0.32264,1.75038,1.60428,1.40519,1.07831,0,0.0007129,0.0007129,0.0007129
89,1180.52,1.89966,1.97617,1.32506,0.96485,0,0.66022,0.65789,0.63769,0.29626,0.725,0.52632,0.61903,0.29569,1.75892,1.64104,1.41466,1.08741,0,0.0007096,0.0007096,0.0007096
90,1191.79,1.84037,2.2966,1.4476,1.00751,0,0.65485,0.65789,0.63615,0.28735,0.60246,0.60526,0.59715,0.27685,1.75159,1.65368,1.3934,1.08957,0,0.0007063,0.0007063,0.0007063
91,1203.12,1.72331,1.88961,1.4643,0.97509,0,0.66307,0.65789,0.6658,0.30608,0.63535,0.63158,0.6187,0.30693,1.77029,1.63023,1.38925,1.09346,0,0.000703,0.000703,0.000703
